"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"193","","","V1","C","","01:10:45:11","01:10:47:10","02:04:59:09","02:05:01:08","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"194","","","A1","C","","01:10:45:11","01:10:47:10","02:04:59:09","02:05:01:08","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"195","","","V1","C","","01:10:49:13","01:10:51:01","02:05:01:08","02:05:02:26","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"196","","","A1","C","","01:10:49:13","01:10:51:01","02:05:01:08","02:05:02:26","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"197","","","V1","C","","01:10:58:12","01:11:00:20","02:05:02:26","02:05:05:04","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"198","","","A1","C","","01:10:58:12","01:11:00:20","02:05:02:26","02:05:05:04","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"199","","","V1","C","","01:11:09:17","01:11:12:14","02:05:05:04","02:05:08:01","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"200","","","A1","C","","01:11:09:17","01:11:12:14","02:05:05:04","02:05:08:01","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"201","","","V1","C","","01:11:21:01","01:11:22:05","02:05:08:01","02:05:09:05","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"202","","","A1","C","","01:11:21:01","01:11:22:05","02:05:08:01","02:05:09:05","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"203","","","V1","C","","01:11:52:10","01:11:53:14","02:05:09:05","02:05:10:09","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"204","","","A1","C","","01:11:52:10","01:11:53:14","02:05:09:05","02:05:10:09","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"205","","","V1","C","","01:12:02:09","01:12:05:25","02:05:10:09","02:05:13:25","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"206","","","A1","C","","01:12:02:09","01:12:05:25","02:05:10:09","02:05:13:25","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"207","","","V1","C","","01:12:10:03","01:12:13:02","02:05:13:25","02:05:16:24","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"208","","","A1","C","","01:12:10:03","01:12:13:02","02:05:13:25","02:05:16:24","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"209","","","V1","C","","01:12:22:07","01:12:26:04","02:05:16:24","02:05:20:21","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"210","","","A1","C","","01:12:22:07","01:12:26:04","02:05:16:24","02:05:20:21","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"211","","","V1","C","","01:12:42:01","01:12:43:26","02:05:20:21","02:05:22:16","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"212","","","A1","C","","01:12:42:01","01:12:43:26","02:05:20:21","02:05:22:16","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"213","","","V1","C","","01:13:00:25","01:13:01:29","02:05:22:16","02:05:23:20","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"214","","","A1","C","","01:13:00:25","01:13:01:29","02:05:22:16","02:05:23:20","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"215","","","V1","C","","01:13:08:21","01:13:11:15","02:05:23:20","02:05:26:14","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"216","","","A1","C","","01:13:08:21","01:13:11:15","02:05:23:20","02:05:26:14","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"217","","","V1","C","","01:00:25:06","01:00:28:03","02:05:26:14","02:05:29:11","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"218","","","A1","C","","01:00:25:06","01:00:28:03","02:05:26:14","02:05:29:11","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"219","","","V1","C","","01:00:40:02","01:00:43:12","02:05:29:11","02:05:32:21","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"220","","","A1","C","","01:00:40:02","01:00:43:12","02:05:29:11","02:05:32:21","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"221","","","V1","C","","01:00:50:23","01:00:51:28","02:05:32:21","02:05:33:26","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"222","","","A1","C","","01:00:50:23","01:00:51:28","02:05:32:21","02:05:33:26","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"223","","","V1","C","","01:00:59:01","01:01:00:23","02:05:33:26","02:05:35:18","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"224","","","A1","C","","01:00:59:01","01:01:00:23","02:05:33:26","02:05:35:18","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"225","","","V1","C","","01:01:05:19","01:01:08:18","02:05:35:18","02:05:38:17","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"226","","","A1","C","","01:01:05:19","01:01:08:18","02:05:35:18","02:05:38:17","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"227","","","V1","C","","01:01:16:02","01:01:19:16","02:05:38:17","02:05:42:01","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"228","","","A1","C","","01:01:16:02","01:01:19:16","02:05:38:17","02:05:42:01","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"229","","","V1","C","","01:01:34:27","01:01:40:27","02:05:42:01","02:05:48:01","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"230","","","A1","C","","01:01:34:27","01:01:40:27","02:05:42:01","02:05:48:01","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"231","","","V1","C","","01:01:46:07","01:01:48:02","02:05:48:01","02:05:49:26","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"232","","","A1","C","","01:01:46:07","01:01:48:02","02:05:48:01","02:05:49:26","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"233","","","V1","C","","01:01:53:08","01:01:55:10","02:05:49:26","02:05:51:28","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"234","","","A1","C","","01:01:53:08","01:01:55:10","02:05:49:26","02:05:51:28","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"235","","","V1","C","","01:01:58:18","01:02:01:07","02:05:51:28","02:05:54:17","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"236","","","A1","C","","01:01:58:18","01:02:01:07","02:05:51:28","02:05:54:17","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"237","","","V1","C","","01:02:08:27","01:02:11:16","02:05:54:17","02:05:57:06","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"238","","","A1","C","","01:02:08:27","01:02:11:16","02:05:54:17","02:05:57:06","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"239","","","V1","C","","01:02:23:17","01:02:26:23","02:05:57:06","02:06:00:12","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"240","","","A1","C","","01:02:23:17","01:02:26:23","02:05:57:06","02:06:00:12","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"241","","","V1","C","","01:02:34:28","01:02:38:13","02:06:00:12","02:06:03:27","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"242","","","A1","C","","01:02:34:28","01:02:38:13","02:06:00:12","02:06:03:27","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"243","","","V1","C","","01:02:45:21","01:02:47:00","02:06:03:27","02:06:05:06","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"244","","","A1","C","","01:02:45:21","01:02:47:00","02:06:03:27","02:06:05:06","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"245","","","V1","C","","01:02:53:02","01:02:54:13","02:06:05:06","02:06:06:17","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"246","","","A1","C","","01:02:53:02","01:02:54:13","02:06:05:06","02:06:06:17","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"247","","","V1","C","","01:03:23:18","01:03:25:26","02:06:06:17","02:06:08:25","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"248","","","A1","C","","01:03:23:18","01:03:25:26","02:06:06:17","02:06:08:25","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"249","","","V1","C","","01:03:37:12","01:03:40:06","02:06:08:25","02:06:11:19","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"250","","","A1","C","","01:03:37:12","01:03:40:06","02:06:08:25","02:06:11:19","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"251","","","V1","C","","01:04:19:10","01:04:23:21","02:06:11:19","02:06:16:00","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
"252","","","A1","C","","01:04:19:10","01:04:23:21","02:06:11:19","02:06:16:00","Media Sync 2021-02-10-21:31:55","","01:00:00:00","01:04:33:29","00:04:33:29","","30.000","","en","","",""
